Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R2__7711638f920f4af20bcb06d26bead380	FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R2__7711638f920f4af20bcb06d26bead380.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82706229.0	0.0	150.0	43.0	82.00847584712892	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R1__d8230e3a8e851d90864463eb98bab007	FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R1__d8230e3a8e851d90864463eb98bab007.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80931473.0	0.0	150.0	43.0	79.57326354975936	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R2__4e61539e78ac862754ff89766a95b123	FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R2__4e61539e78ac862754ff89766a95b123.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80931473.0	0.0	150.0	43.0	79.968385598304	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__45defc599ae3bffc7d50293daea90282	FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__45defc599ae3bffc7d50293daea90282.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65954622.0	0.0	150.0	43.0	83.109342730733	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__84390c8588ef79858d3495634a3461b4	FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__84390c8588ef79858d3495634a3461b4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2811775.0	0.0	150.0	43.0	85.36677316443696	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__9a09a7a56ecddc0a9c3e984541a16c14	FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__9a09a7a56ecddc0a9c3e984541a16c14.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65954622.0	0.0	150.0	43.0	85.38491618509553	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__de2d09169950f691f15e70d0ac5223b5	FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__de2d09169950f691f15e70d0ac5223b5.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2811775.0	0.0	150.0	43.0	86.19232245087306	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__89c48ba21d49ebcd102d0a6e177825a5	FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__89c48ba21d49ebcd102d0a6e177825a5.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65560840.0	0.0	150.0	42.0	84.38550019699508	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__aefa27b1daa5ee509f355fa1ceaf3877	FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__aefa27b1daa5ee509f355fa1ceaf3877.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2638893.0	0.0	150.0	42.0	86.91156206149114	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass	warn
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__2b0465e6695d9727aa8913b1d0fc9ea6	FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__2b0465e6695d9727aa8913b1d0fc9ea6.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2638893.0	0.0	150.0	41.0	87.32558302160926	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__c5134034d3a5cf770d2b5ec41387fe3b	FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__c5134034d3a5cf770d2b5ec41387fe3b.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65560840.0	0.0	150.0	42.0	84.79066841199958	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
